CountryNameLab	CountryLabId	DivisionId	Division	DivisionIdNorm	DivisionNameNorm
México	11	82	INVESTIGACIONES FILOSÓFICAS Y CIENTÍFICAS S.A. DE C.V. 	2833	CANTABRIA
Colombia	4	226	CARIBE	226	CARIBE
México	11	35	CARNOT LABORATORIOS, PRODUCTOS CIENTÍFICOS, S.A. DE C.V.	35	CARNOT
Perú	14	489	LABORATORIOS D.A. CARRION S.A.C.	489	CARRION
México	11	2651	CONSORCIO DERMATOLÓGICO DE MÉXICO S.A. DE C.V.	2651	CDM
México	11	2817	CELGENE MÉXICO	2817	CELGENE
México	11	1367	CELL PHARMA, S. DE R.L. DE C.V.	1367	CELLPHARMA
Colombia	4	227	CERO	227	CERO
Colombia	4	228	CHALVER	228	CHALVER
Ecuador	6	1067	CHALVER LABORATORIOS	1067	CHALVER
Ecuador	6	1069	CHEFAR	1069	CHEFAR
Centroamerica	3	1283	CHEMINTER, S.A. LABORATORIOS	1283	CHEMINTER
Chile	38	2568	CHEMOPHARMA S.A.	2568	CHEMOPHARMA
Chile	38	2569	CHILE S.A.	2569	CHILE
Centroamerica	3	1284	CHINOIN PRODUCTOS FARMACÉUTICOS S.A. DE C.V.	1284	CHINOIN
México	11	36	CHINOIN, PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.	36	CHINOIN
México	11	37	CHURCH & DWIGHT, S. DE R.L. DE C.V.	2521	CHURCH & DWIGHT  
México	11	2521	Church & Dwright, S. de R.L. de C.V.	2521	CHURCH & DWIGHT  
Ecuador	6	1070	CIFSA	1070	CIFSA
Colombia	4	229	CLARIS LIFESCIENCES COLOMBIA 	229	CLARIS LIFESCIENCES 
Colombia	4	230	CLOSTER PHARMA	230	CLOSTER PHARMA
México	11	2522	Comercial Distribuidora APA, S.A. de C.V.	2522	CODIAPASA
México	11	138	PRODUCTOS FARMACÉUTICOS COLLINS, S.A. DE C.V.	138	COLLINS
Colombia	4	2546	COLMED	2546	COLMED
México	11	38	COLUMBIA, S.A. DE C.V. LABORATORIOS	38	COLUMBIA
Centroamerica	3	1286	COMBISA LABORATORIOS	1286	COMBISA 
Colombia	4	231	COMERCIAL MEDICA, LTDA.	231	COMERCIAL MÉDICA
México	11	40	COMERCIALIZADORA FARMACEUTICA DE CHIAPAS, PRODUCTOS FARMACEUTICOS, S.A. DE C.V.	40	COMERCIALIZADORA FARMACEUTICA DE CHIAPAS
Ecuador	6	1071	COMERCIOSA S. A.	1071	COMERCIOSA
México	11	41	COMPAÑIA INTERNACIONAL DE COMERCIO, S.A. DE .C.V.	41	COMPAÑIA INTERNACIONAL DE COMERCIO
México	11	42	CONCORDIA, S.A. DE C.V., LABORATORIOS	42	CONCORDIA
México	11	43	CONSUPHARMA, S.A. DE C.V.	43	CONSUPHARMA
Perú	14	555	CONTILAB	555	CONTILAB
México	11	44	CORNE, S.A. DE C.V., LABORATORIOS	2686	CORNE
Colombia	4	233	COSQUIM	233	COSQUIM
Perú	14	407	LABORATORIOS CRESPAL - PERÚ	1244	CRESPAL
México	11	45	CRYOPHARMA, S.A. DE C.V., LABORATORIOS	45	CRYOPHARMA 
Chile	38	2571	D&M PHARMA S.A.	2571	D&M PHARMA
Colombia	4	2524	DANONE BABY NUTRICION	2524	DANONE BABY NUTRICION
México	11	48	DERMATOLÓGICOS DARIER, S.A. DE C.V., LABORATORIOS	48	DARIER
Colombia	4	2414	DATA PHARMACEUTICAL SERVICES S.A.S.	2414	DATA PHARMACEUTICAL SERVICES
México	11	46	DEGORT’S CHEMICAL, S.A. DE C.V.	46	DEGORT´S
Perú	14	409	DELFARMA	409	DELFARMA
Colombia	4	276	LABORATORIOS DELTA	276	DELTA
México	11	1362	DERMACEUTICAL MÉXICO, S.A. DE C.V.	1362	DERMACEUTICAL
Colombia	4	2649	DERMOETIKA SAS	2649	DERMOETIKA
Perú	14	412	DEUTSCHE PHARMA S.A.C.	412	DEUTSCHE PHARMA 
México	11	49	DIBA, S.A., LABORATORIOS	49	DIBA
México	11	1366	LABORATORIOS DIBAR, S.A. DE C.V.	1366	DIBAR
Chile	38	2575	DISPOLAB FARMACEUTICA S.A.	2575	DISPOLAB
México	11	2324	DIVINE SKIN LABORATORIES, S.A. DE C.V.	2324	DIVINE SKIN
México	11	2800	DKT México	2800	DKT
Centroamerica	3	2778	CORPORACIÓN DONOVAN WERKE INTERNATIONAL	2778	DONOVAN WERKE
Perú	14	416	DRINTEFA	416	DRINTEFA
Perú	14	2666	DAEWON PHARM CO LTDA	2666	DROGUERÍA PERÚ SAC
Perú	14	422	DROGUERÍA PERÚ S.A.C.	2666	DROGUERÍA PERÚ SAC
Perú	14	2667	KOREA UNITED PHARM	2666	DROGUERÍA PERÚ SAC
Perú	14	2772	PBM NUTRITIONALS LLC (DROPESAC)	2666	DROGUERÍA PERÚ SAC
Perú	14	2668	UNION KOREA PHARM	2666	DROGUERÍA PERÚ SAC
Perú	14	1228	DROGUERIAS UNIDAS DEL PERU	1228	DROGUERIAS UNIDAS 
Colombia	4	235	DRUGTECH	235	DRUGTECH
Chile	38	2577	DRUGTECH	2577	DRUGTECH
Colombia	4	236	ECAR	236	ECAR
Ecuador	6	1077	ECUAQUÍMICA	1077	ECUAQUÍMICA
México	11	53	FARMACÉUTICOS EDERKA, S.A. DE C.V.	53	EDERKA
Centroamerica	3	1288	EISAI C0., LTDA.	1288	EISAI
México	11	2773	EISAI LABORATORIOS	2773	EISAI
Colombia	4	237	ELI LILLY	237	ELI LILLY
Chile	38	2578	ELI LILLY INTERAMERICA INC. y CIA LTDA.	2578	ELI LILLY
México	11	50	ELI LILLY Y COMPAÑÍA DE MÉXICO, S.A. DE C.V.	50	ELI LILLY
Colombia	4	234	DERMACARE, S.A.	234	ELIMERA-DERMACARE
Centroamerica	3	1289	ELIPESA, C. POR A.	1289	ELIPESA
México	11	2519	ELITE MEDICAL	2519	ELITE MEDICAL
Colombia	4	238	ESSEX FARMACEUTICA	238	ESSEX
México	11	1365	ESTERIPHARMA MÉXICO, S.A. DE C.V.	1365	ESTERIPHARMA
Chile	38	2580	ETEX FARMACEUTICA LTDA.	2580	ETEX
Centroamerica	3	2777	ETHICAL	2777	ETHICAL
Colombia	4	239	ETYC	239	ETYC
Colombia	4	240	EURODRUG LABORATORIES	240	EURODRUG
Colombia	4	241	EUROETIKA, LTDA.	241	EUROETIKA
Ecuador	6	2809	EUROFARMA	2809	EUROFARMA
Colombia	4	2780	EUROFARMA COLOMBIA	2780	EUROFARMA
Perú	14	561	EUROFARMA PERÚ S.A.C.	561	EUROFARMA
México	11	52	EURODRUG LABORATORIES	52	EUROLAB
Chile	38	2581	EUROLAB LTDA.	2581	EUROLAB
Ecuador	6	1164	EUROSTAGA S.A.	1164	EUROSTAGA 
México	11	132	PHARMACOS EXAKTA, S.A. DE C.V.	132	EXAKTA
México	11	2713	LABORATORIOS EXPANSCIENCE MÉXICO, S.A. DE C.V.	2713	EXPANSCIENCE
Chile	38	2582	EXPOFARMA LTDA.	2582	EXPOFARMA
Centroamerica	3	1291	FAES FARMA S.A.	1291	FAES FARMA 
Ecuador	6	2513	F.J.P. FAJAPRO COMERCIO Y REPRESENTACIONES CÍA. LTDA	2513	FAJAPRO
Colombia	4	258	FARMA DE COLOMBIA S. A.	258	FARMA DE COLOMBIA
México	11	2755	FARMACÉUTICA HISPANOAMERICANA	2755	FARMACÉUTICA HISPANOAMERICANA
Chile	38	2583	FARMACEUTICO MASTER S. A.	2583	FARMACEUTICO MASTER
México	11	2504	FARMACIA GUADALAJARA	2504	FARMACIA GUADALAJARA
México	11	2496	COMERCIALIZADORA FARMACÉUTICA DE CHIAPAS, S. A. DE C. V.	2496	FARMACIAS DEL AHORRO
Colombia	4	243	FARMACOOP	243	FARMACOOP
México	11	54	FÁRMACOS CONTINENTALES, S.A. DE C.V.	54	FÁRMACOS CONTINENTALES
México	11	55	FARMAGÉ S.A.C.	55	FARMAGÉ
Perú	14	461	FARMAKONSUMA	461	FARMAKONSUMA
Colombia	4	244	FARMALOGICA S.A.	244	FARMALOGICA
Centroamerica	3	2498	FARMANDINA	2498	FARMANDINA
México	11	2508	FARMAPIEL	2508	FARMAPIEL
México	11	56	FARMASA, S.A. DE C.V., LABORATORIOS	56	FARMASA
Colombia	4	245	FARMASER, S.A.	245	FARMASER
Perú	14	442	FARMEDIC S.A.C.	442	FARMEDIC 
Perú	14	443	FARMINDUSTRIA S.A.	443	FARMINDUSTRIA 
Chile	38	2576	DROGUERIA FARMOQUIMICA DEL PACIFICO	2576	FARMOQUIMICA DEL PACIFICO
Colombia	4	247	FARPAG	247	FARPAG
Perú	14	445	DROGUERÍA LABORATORIO FARVET S.A.C.	445	FARVET
México	11	57	FEDELE, S.A. DE C.V.	57	FEDELE
Centroamerica	3	1293	FERRER GRUPO	1293	FERRER 
México	11	1018	FERRER THERAPEUTICS, S.A DE C.V.	1018	FERRER 
Chile	38	2585	FERRING CHILE	2585	FERRING
México	11	58	FERRING S.A DE C.V	58	FERRING
Colombia	4	2781	FIAC FARMACEUTICA S.A.	2781	FIAC
México	11	59	FRESENIUS KABI MÉXICO, S.A. DE C.V., LABORATORIOS	59	FRESENIUS
Colombia	4	250	FRESSENIUS MEDICAL CARE	250	FRESENIUS
Ecuador	6	1182	FRISONEX	1182	FRISONEX
Ecuador	6	1105	LABORATORIOS FROSHER DEL ECUADOR CIA. LTDA.	1105	FROSHER
Chile	38	2586	GALDERMA CHILE LABORATORIOS LTDA.	2586	GALDERMA
Colombia	4	251	GALDERMA DE COLOMBIA, S.A.	251	GALDERMA
México	11	60	GALDERMA MÉXICO, S.A. DE C.V.	60	GALDERMA
Centroamerica	3	1295	GALDERMA MÉXICO, S.A. DE C.V.	1295	GALDERMA
Colombia	4	277	GALENO	277	GALENO
Ecuador	6	1165	GALENO-ECUADOR CÍA LTDA	1165	GALENO
Ecuador	6	1081	GALIAFARM S.A.	1081	GALIAFARM 
Colombia	4	2754	LABORATORIOS GARDEN HOUSE COLOMBIA	2754	GARDEN HOUSE
Colombia	4	252	GARMISCH PHARMACEUTICAL S.A.	252	GARMISCH
México	11	2799	GEDEON RICHTER	2799	GEDEON RICHTER
Colombia	4	2801	GEDEON RICHTER COLOMBIA	2801	GEDEON RICHTER
Ecuador	6	2677	GEDEON RICHTER ECUADOR S.A.	2677	GEDEON RICHTER
Ecuador	6	1197	GENÉRICOS NACIONALES GENA S.A.	1197	GENA
Ecuador	6	1082	GENAMÉRICA S. A.	1082	GENAMÉRICA 
Ecuador	6	1083	GENETIKA PHARMA	1083	GENETIKA PHARMA
México	11	62	GENÉTIKA PHARMA	62	GENETIKA PHARMA
Colombia	4	253	GENFAR	253	GENFAR
Ecuador	6	1084	GENFAR  S.A.	1084	GENFAR
Centroamerica	3	1296	GENFAR,  S.A.	1296	GENFAR
México	11	63	GENOMMA LABORATORIES DE MÉXICO, S.A. DE C.V.	63	GENOMMA
México	11	78	INFOVISION, S.A. DE C.V.	63	GENOMMA
México	11	2653	COSMÉTICOS DERMATOLOGICOS DE MÉXICO	2653	GENOVE
Colombia	4	2658	GENZYME	2658	GENZYME
Centroamerica	3	2499	GENZYME	2499	GENZYME
México	11	1012	GENZYME MÉXICO, S. DE R.L. DE C.V.	1012	GENZYME
Colombia	4	254	GERCO	254	GERCO
Perú	14	453	GIANFARMA S.A.	453	GIANFARMA
Colombia	4	2763	GLOBAL INTERNATIONAL MEDICINE	2763	GIMED
Perú	14	455	GLENMARK PHARMACEUTICAL L.T.D.	455	GLENMARK 
México	11	2333	GLENMARK PHARMACEUTICALS MÉXICO, S.A. DE C.V.	2333	GLENMARK 
Ecuador	6	2346	LABORATORIOS GM	2346	GM
Colombia	4	256	GOTLAND FARMACEUTICAL	256	GOTLAND PHARMA
México	11	1363	GRACEWAY MÉXICO, S. DE R.L. DE C.V.	1363	GRACEWAY
Chile	38	2589	GRIFOLS CHILE S.A.-	2589	GRIFOLS
México	11	88	LABORATORIOS GRIN, S.A. DE C.V.	88	GRIN
México	11	89	LABORATORIOS GRISI GRISI HNOS. S.A. DE C.V.	89	GRISI
México	11	66	GROSSMAN, S.A., LABORATORIOS	66	GROSSMAN
Centroamerica	3	1298	GROSSMAN, S.A., LABORATORIOS	1298	GROSSMAN
Colombia	4	2678	GRUINFACOL S.A.	2678	GRUINFACOL
Centroamerica	3	1299	GRÜNENTHAL CENTROÁMERICA Y CARIBE	1299	GRÜNENTHAL
Chile	38	2590	GRÜNENTHAL CHILENA LTDA.	2590	GRÜNENTHAL
Colombia	4	257	GRUNENTHAL COLOMBIANA	257	GRÜNENTHAL
México	11	67	GRÜNENTHAL DE MÉXICO, S.A. DE C.V.	67	GRÜNENTHAL
Ecuador	6	1086	GRÜNENTHAL ECUATORIANA, C. LTDA.	1086	GRÜNENTHAL
Perú	14	459	GRÜNENTHAL PERUANA S. A.	459	GRÜNENTHAL
Ecuador	6	1087	GRUPO FARMA DEL ECUADOR, S. A.	1087	GRUPOFARMA DEL ECUADOR
Colombia	4	255	GLAXOSMITHKLINE	255	GSK
Ecuador	6	1085	GLAXOSMITHKLINE 	1085	GSK
Chile	38	2588	GLAXOSMITHKLINE CHILE FARMACEUTICA LTDA.	2588	GSK
México	11	64	GLAXOSMITHKLINE MÉXICO, S.A. DE C.V.	64	GSK
México	11	65	GLAXOSMITHKLINE MÉXICO, S.A. DE C.V. (CONSUMO)	64	GSK
Perú	14	454	GLAXOSMITHKLINE PERÚ S.A.	454	GSK
Centroamerica	3	1382	GSK PHARMACEUTICALS CR S.A.	1382	GSK
Ecuador	6	1089	GUTIS  FARMACÉUTICA	1089	GUTIS  
México	11	2325	GRUPO VENTA INTERNACIONAL, S.A. DE C.V.	2325	GVI
Chile	38	2591	GYNOPHARM	2591	GYNOPHARM
Colombia	4	261	GYNOPHARM, S.A.	261	GYNOPHARM
Colombia	4	2812	HB HUMAN BIOSCIENCE	2812	HB HUMAN
Colombia	4	262	HEEL COLOMBIA LTDA.	262	HEEL 
Colombia	4	263	HEIMDALL ,S.A.	263	HEIMDALL
Perú	14	465	HERSIL S.A.	465	HERSIL 
México	11	69	HEXAL, S.A. DE C.V., LABORATORIOS (SANDOZ, S.A. DE C.V.)	69	HEXAL
México	11	2514	HIGIA LABORATORIOS	2514	HIGIA
México	11	70	HORMONA, S.A. DE C.V., LABORATORIOS	70	HORMONA
Ecuador	6	1088	GRUPO HOSPIMEDIKKA INFAREC	1088	HOSPIMEDIKKA
México	11	71	HOSPIRA, S. DE R. L. DE C. V.	2702	HOSPIRA
Colombia	4	1387	HUMAX PHARMACEUTICAL S.A.	1387	HUMAX
México	11	81	INVESTIGACIÓN FARMACÉUTICA, S.A. DE C.V.	81	IFA CELTICS
México	11	2794	IMMUNOTEC	2794	IMMUNOTEC
Colombia	4	265	INCOBRA	265	INCOBRA
Ecuador	6	1092	INDUNIDAS, LABORATORIOS	1092	INDUNIDAS
Ecuador	6	1093	INFABI	1093	INFABI
Centroamerica	3	1300	INDUSTRIA FARMACÉUTICA DEL CARIBE S.A.	1300	INFACA
Colombia	4	266	INMUNOSYN S.A.	266	INMUNOSYN
Chile	38	2592	INSTITUTO DE SALUD PUBLICA DE CHILE	2592	INSTITUTO DE SALUD PUBLICA DE CHILE
México	11	2517	INTELLIGENCE PHARMACEUTICAL NETWORK	2517	INTELPHARMA
México	11	80	INTENDIS MEXICANA, S.A. DE C.V.	80	INTENDIS 
México	11	2646	INTERLAB PHARMACÉUTICA	2646	INTERLAB
Ecuador	6	1095	INTERPHARM DEL ECUADOR, S. A.	1095	INTERPHARM 
